bacterial infections and mycoses,['c01']
empyema,"['c01.539.830.305', 'c23.550.470.756.305']"
"otitis media, suppurative","['c01.539.830.694', 'c09.218.705.663.680']"
pyomyositis,"['c01.539.830.767', 'c05.651.594.909', 'c10.668.491.562.787']"
"thyroiditis, suppurative","['c01.539.830.840', 'c19.874.871.910']"
toxemia,['c01.539.861']
urinary tract infections,"['c01.539.895', 'c12.777.892', 'c13.351.968.892']"
bacteriuria,"['c01.539.895.219', 'c12.777.892.219', 'c13.351.968.892.219']"
pyuria,"['c01.539.895.719', 'c12.777.892.719', 'c13.351.968.892.719']"
schistosomiasis haematobia,"['c01.539.895.775', 'c03.335.865.859.427', 'c12.777.892.775', 'c13.351.968.892.775']"
wound infection,"['c01.539.947', 'c26.951']"
surgical wound infection,"['c01.539.947.692', 'c23.550.767.925']"
mycoses,['c01.703']
candidiasis,['c01.703.160']
"candidiasis, invasive",['c01.703.160.175']
"candidiasis, oral","['c01.703.160.180', 'c07.465.130']"
"candidiasis, vulvovaginal","['c01.703.160.190', 'c13.351.500.894.906.820.500', 'c13.351.500.944.902.737.500']"
central nervous system fungal infections,"['c01.703.181', 'c10.228.228.198']"
"meningitis, fungal","['c01.703.181.500', 'c10.228.228.198.500', 'c10.228.228.507.400']"
"meningitis, cryptococcal","['c01.703.181.500.500', 'c01.703.248.290', 'c10.228.228.198.500.500', 'c10.228.228.507.400.500']"
coccidioidomycosis,['c01.703.203']
cryptococcosis,['c01.703.248']
geotrichosis,['c01.703.392']
histoplasmosis,['c01.703.450']
alternariosis,['c01.703.513.124']
neuroaspergillosis,"['c01.703.513.249.537', 'c10.228.228.198.750']"
cerebral phaeohyphomycosis,['c01.703.513.374']
"lung diseases, fungal","['c01.703.534', 'c08.381.472', 'c08.730.435']"
"pneumonia, pneumocystis","['c01.703.534.700', 'c01.703.770.700', 'c08.381.472.700', 'c08.381.677.675', 'c08.730.435.700', 'c08.730.610.675']"
microsporidiosis,['c01.703.617']
encephalitozoonosis,['c01.703.617.300']
otomycosis,"['c01.703.658', 'c09.218.736']"
piedra,"['c01.703.753', 'c17.800.329.992']"
pneumocystis infections,['c01.703.770']
trichosporonosis,"['c01.703.875', 'c08.381.483.125.841', 'c08.674.055.682', 'c20.543.480.680.075.682']"
zygomycosis,['c01.703.980']
mucormycosis,['c01.703.980.600']
zoonoses,"['c01.908', 'c02.968', 'c03.908', 'c22.969']"
virus diseases,['c02']
arbovirus infections,['c02.081']
african horse sickness,"['c02.081.030', 'c02.782.791.142', 'c22.488.088']"
bluetongue,"['c02.081.125', 'c02.782.791.315', 'c22.836.120']"
dengue,"['c02.081.270', 'c02.782.350.250.214', 'c02.782.417.214']"
dengue hemorrhagic fever,"['c02.081.270.200', 'c02.782.350.250.214.200', 'c02.782.417.214.200']"
"encephalitis, arbovirus","['c02.081.343', 'c02.182.500.300.300', 'c02.290.310', 'c02.782.310', 'c10.228.228.210.150.300.300', 'c10.228.228.245.340.310']"
"encephalitis, california","['c02.081.343.340', 'c02.182.500.300.300.200', 'c02.290.310.140', 'c02.782.147.340', 'c02.782.310.340', 'c10.228.228.210.150.300.300.200', 'c10.228.228.245.340.310.140']"
"encephalitis, japanese","['c02.081.343.345', 'c02.182.500.300.300.250', 'c02.290.310.280', 'c02.782.310.345', 'c02.782.350.250.300', 'c10.228.228.210.150.300.300.400', 'c10.228.228.245.340.310.280']"
"encephalitis, st. louis","['c02.081.343.350', 'c02.182.500.300.300.300', 'c02.290.310.406', 'c02.782.310.350', 'c02.782.350.250.450', 'c10.228.228.210.150.300.300.550', 'c10.228.228.245.340.310.406']"
"encephalitis, tick-borne","['c02.081.343.360', 'c02.081.885.400', 'c02.182.500.300.300.350', 'c02.290.310.530', 'c02.782.310.360', 'c02.782.350.250.500', 'c10.228.228.210.150.300.300.775', 'c10.228.228.245.340.310.500']"
west nile fever,"['c02.081.343.950', 'c02.182.500.300.300.850', 'c02.290.310.950', 'c02.782.310.950', 'c02.782.350.250.900', 'c10.228.228.210.150.300.300.887', 'c10.228.228.245.340.310.950']"
"encephalomyelitis, equine","['c02.081.355', 'c02.182.500.300.450', 'c02.290.450', 'c02.782.930.100.370', 'c10.228.228.210.150.300.450', 'c10.228.228.245.340.450', 'c10.228.228.291.323', 'c10.228.440.406']"
"encephalomyelitis, eastern equine","['c02.081.355.177', 'c02.182.500.300.450.200', 'c02.290.450.200', 'c02.782.930.100.370.162', 'c10.228.228.210.150.300.450.200', 'c10.228.228.245.340.450.200', 'c10.228.228.291.323.162', 'c10.228.440.406.200']"
"encephalomyelitis, venezuelan equine","['c02.081.355.355', 'c02.182.500.300.450.250', 'c02.290.450.225', 'c02.782.930.100.370.325', 'c10.228.228.210.150.300.450.600', 'c10.228.228.245.340.450.225', 'c10.228.228.291.323.325', 'c10.228.440.406.225']"
"encephalomyelitis, western equine","['c02.081.355.677', 'c02.182.500.300.450.300', 'c02.290.450.250', 'c02.782.930.100.370.662', 'c10.228.228.210.150.300.450.800', 'c10.228.228.245.340.450.250', 'c10.228.228.291.323.662', 'c10.228.440.406.250']"
phlebotomus fever,"['c02.081.700', 'c02.782.147.700']"
rift valley fever,"['c02.081.810', 'c02.407.810', 'c02.782.147.810', 'c02.782.417.762', 'c06.552.380.315.430.812', 'c22.467.435.812']"
african swine fever,"['c02.081.885.125', 'c02.256.142', 'c22.905.072']"
colorado tick fever,"['c02.081.885.200', 'c02.782.791.482']"
"hemorrhagic fever, crimean","['c02.081.885.430', 'c02.782.147.444', 'c02.782.417.412']"
"hemorrhagic fever, omsk","['c02.081.885.440', 'c02.782.350.250.560', 'c02.782.417.435']"
kyasanur forest disease,"['c02.081.885.475', 'c02.782.350.250.635', 'c02.782.417.475']"
nairobi sheep disease,"['c02.081.885.550', 'c02.782.147.633', 'c22.836.583']"
yellow fever,"['c02.081.980', 'c02.782.350.250.980']"
"bronchiolitis, viral","['c02.109', 'c08.127.446.135.321', 'c08.381.495.146.135.321', 'c08.730.099.135.321']"
central nervous system viral diseases,"['c02.182', 'c10.228.228.210']"
encephalitis,"['c02.182.500', 'c10.228.140.430', 'c10.228.228.210.150', 'c10.228.228.245']"
"encephalitis, viral","['c02.182.500.300', 'c02.290', 'c10.228.228.210.150.300', 'c10.228.228.245.340']"
"encephalitis, herpes simplex","['c02.182.500.300.350', 'c02.256.466.262', 'c02.290.325', 'c10.228.228.210.150.300.350', 'c10.228.228.245.340.332']"
"encephalitis, varicella zoster","['c02.182.500.300.400', 'c02.256.466.279', 'c02.290.355', 'c10.228.228.210.150.300.400', 'c10.228.228.245.340.355']"
"leukoencephalopathy, progressive multifocal","['c02.182.500.300.500', 'c02.256.721.500', 'c02.290.575', 'c02.839.550', 'c10.228.140.695.750', 'c10.228.228.210.150.300.500', 'c10.228.228.245.340.575', 'c10.228.518.750', 'c10.314.450']"
subacute sclerosing panencephalitis,"['c02.182.500.300.600', 'c02.290.700', 'c02.782.580.600.500.500.800', 'c02.839.862', 'c10.228.228.210.150.300.600', 'c10.228.228.245.340.700']"
"meningitis, viral","['c02.182.550', 'c02.587', 'c10.228.228.210.500', 'c10.228.228.507.700']"
lymphocytic choriomeningitis,"['c02.182.550.500', 'c02.587.580', 'c02.782.082.580', 'c10.228.228.210.500.500', 'c10.228.228.507.700.500']"
"meningitis, aseptic","['c02.182.550.600', 'c02.587.600', 'c10.228.228.210.500.600', 'c10.228.228.507.220', 'c10.228.228.507.700.600']"
myelitis,"['c02.182.600', 'c10.228.228.210.575', 'c10.228.228.618', 'c10.228.854.525']"
"paraparesis, tropical spastic","['c02.182.600.600', 'c02.782.815.200.470.710', 'c10.228.228.210.575.500', 'c10.228.228.618.700', 'c10.228.854.525.700']"
poliomyelitis,"['c02.182.600.700', 'c02.182.700', 'c02.782.687.359.764', 'c10.228.228.210.575.750', 'c10.228.228.210.650', 'c10.228.228.618.850', 'c10.228.854.525.850', 'c10.228.854.641', 'c10.668.864']"
"poliomyelitis, bulbar","['c02.182.600.700.600', 'c02.782.687.359.764.614', 'c10.228.228.210.650.600']"
postpoliomyelitis syndrome,"['c02.182.600.700.800', 'c02.782.687.359.764.650', 'c05.651.534.750', 'c10.228.228.210.650.800', 'c10.228.854.641.650', 'c10.574.827', 'c10.668.491.175.750', 'c10.668.550.500', 'c10.668.864.500']"
pseudorabies,"['c02.182.710', 'c02.256.466.793', 'c10.228.228.210.710', 'c22.742']"
dna virus infections,['c02.256']
adenoviridae infections,['c02.256.076']
"adenovirus infections, human",['c02.256.076.045']
"hepatitis, infectious canine","['c02.256.076.381', 'c02.407.432', 'c06.552.380.315.430.440', 'c22.268.465', 'c22.467.435.442']"
circoviridae infections,['c02.256.200']
hepadnaviridae infections,['c02.256.430']
hepatitis b,"['c02.256.430.400', 'c02.440.435', 'c06.552.380.705.437']"
"hepatitis b, chronic","['c02.256.430.400.100', 'c02.440.435.100', 'c06.552.380.350.100', 'c06.552.380.705.437.100']"
herpesviridae infections,['c02.256.466']
bell palsy,"['c02.256.466.087', 'c07.465.094', 'c10.292.300.250']"
chickenpox,['c02.256.466.175']
cytomegalovirus infections,['c02.256.466.245']
cytomegalovirus retinitis,"['c02.256.466.245.150', 'c02.325.270', 'c11.294.800.270', 'c11.768.773.360']"
epstein-barr virus infections,"['c02.256.466.313', 'c02.928.313', 'c04.619.935.313', 'c04.925.313']"
burkitt lymphoma,"['c02.256.466.313.165', 'c02.928.313.165', 'c04.557.386.480.100', 'c04.557.386.480.150.165', 'c04.619.935.313.165', 'c04.925.313.165', 'c15.604.515.569.480.100', 'c15.604.515.569.480.150.165', 'c20.683.515.761.480.100', 'c20.683.515.761.480.150.165']"
infectious mononucleosis,"['c02.256.466.313.400', 'c15.378.553.381', 'c15.604.515.516', 'c20.683.515.515']"
"leukoplakia, hairy","['c02.256.466.313.500', 'c04.588.443.591.545.500', 'c04.834.512.513.500', 'c07.465.565.545.500', 'c23.300.816.513.500']"
herpes simplex,"['c02.256.466.382', 'c02.825.320', 'c17.800.838.790.320']"
herpes genitalis,"['c02.256.466.382.290', 'c02.800.801.350', 'c12.294.329', 'c13.351.500.342']"
herpes labialis,"['c02.256.466.382.316', 'c02.825.320.320', 'c07.465.409.466', 'c17.800.838.790.320.320']"
kaposi varicelliform eruption,"['c02.256.466.382.410', 'c02.825.320.410', 'c17.800.838.790.320.410']"
"keratitis, herpetic","['c02.256.466.382.465', 'c02.325.465', 'c11.204.564.425', 'c11.294.800.475']"
"keratitis, dendritic","['c02.256.466.382.465.450', 'c02.325.465.450', 'c11.204.564.425.450', 'c11.294.800.475.450']"
"stomatitis, herpetic","['c02.256.466.382.834', 'c07.465.864.937']"
herpes zoster,['c02.256.466.423']
herpes zoster ophthalmicus,"['c02.256.466.423.466', 'c02.325.450', 'c11.294.800.450']"
herpes zoster oticus,"['c02.256.466.423.733', 'c09.218.513', 'c10.292.300.750']"
zoster sine herpete,['c02.256.466.423.970']
infectious bovine rhinotracheitis,"['c02.256.466.488', 'c22.196.429']"
malignant catarrh,"['c02.256.466.606', 'c22.196.540']"
marek disease,"['c02.256.466.650', 'c02.928.489', 'c04.619.935.489', 'c04.925.489', 'c15.604.515.700', 'c20.683.515.840', 'c22.131.546']"
roseolovirus infections,['c02.256.466.850']
exanthema subitum,"['c02.256.466.850.290', 'c02.825.290', 'c17.800.257.335', 'c17.800.838.790.290']"
"sarcoma, kaposi","['c02.256.466.860', 'c04.557.450.795.850', 'c04.557.645.750']"
papillomavirus infections,"['c02.256.650', 'c02.928.725']"
warts,"['c02.256.650.810', 'c02.825.810', 'c02.928.914', 'c04.925.744', 'c17.800.838.790.810']"
condylomata acuminata,"['c02.256.650.810.217', 'c02.800.801.220', 'c02.825.810.110', 'c02.928.914.217', 'c17.800.838.790.810.110']"
epidermodysplasia verruciformis,"['c02.256.650.810.345', 'c02.825.810.260', 'c02.928.914.345', 'c04.925.744.500', 'c17.800.838.790.810.260']"
parvoviridae infections,['c02.256.700']
aleutian mink disease,"['c02.256.700.091', 'c02.839.091', 'c20.673.774.257.270', 'c22.062']"
erythema infectiosum,"['c02.256.700.300', 'c02.825.260', 'c17.800.229.335', 'c17.800.838.790.260']"
feline panleukopenia,"['c02.256.700.363', 'c22.180.460']"
mink viral enteritis,"['c02.256.700.550', 'c22.557']"
polyomavirus infections,['c02.256.721']
"carcinoma, merkel cell","['c02.256.721.150', 'c02.928.216', 'c04.557.465.625.650.240.325', 'c04.557.470.200.025.370.325', 'c04.557.580.625.650.240.325', 'c04.925.216']"
poxviridae infections,['c02.256.743']
cowpox,['c02.256.743.175']
"ecthyma, contagious","['c02.256.743.193', 'c22.836.259']"
"ectromelia, infectious","['c02.256.743.239', 'c22.795.239']"
fowlpox,"['c02.256.743.366', 'c22.131.321']"
lumpy skin disease,"['c02.256.743.494', 'c22.196.497']"
molluscum contagiosum,"['c02.256.743.611', 'c02.825.550', 'c17.800.838.790.550']"
monkeypox,"['c02.256.743.615', 'c22.735.750', 'c22.795.600']"
"myxomatosis, infectious","['c02.256.743.665', 'c22.627']"
smallpox,['c02.256.743.826']
vaccinia,['c02.256.743.929']
"eye infections, viral","['c02.325', 'c11.294.800']"
"conjunctivitis, viral","['c02.325.250', 'c11.187.183.240', 'c11.294.800.250']"
"conjunctivitis, acute hemorrhagic","['c02.325.250.250', 'c02.782.687.359.201', 'c02.782.687.359.213.165', 'c11.187.183.240.216', 'c11.294.800.250.250']"
"fatigue syndrome, chronic","['c02.330', 'c05.651.310', 'c10.228.440.600', 'c10.668.364']"
"hepatitis, viral, animal","['c02.407', 'c06.552.380.315.430', 'c22.467.435']"
"hepatitis, viral, human","['c02.440', 'c06.552.380.705']"
hepatitis a,"['c02.440.420', 'c02.782.687.359.500', 'c06.552.380.705.422']"
hepatitis c,"['c02.440.440', 'c02.782.350.350', 'c06.552.380.705.440']"
"hepatitis c, chronic","['c02.440.440.120', 'c02.782.350.350.120', 'c06.552.380.350.120', 'c06.552.380.705.440.120']"
hepatitis d,"['c02.440.450', 'c02.782.450', 'c06.552.380.705.450']"
"hepatitis d, chronic","['c02.440.450.100', 'c02.782.450.100', 'c06.552.380.350.220', 'c06.552.380.705.450.100']"
hepatitis e,"['c02.440.470', 'c02.782.455', 'c06.552.380.705.470']"
"pneumonia, viral","['c02.705', 'c08.381.677.807', 'c08.730.610.763']"
rna virus infections,['c02.782']
arenaviridae infections,['c02.782.082']
"hemorrhagic fever, american","['c02.782.082.440', 'c02.782.417.400']"
lassa fever,"['c02.782.082.545', 'c02.782.417.505']"
astroviridae infections,['c02.782.105']
birnaviridae infections,['c02.782.123']
bunyaviridae infections,['c02.782.147']
hantavirus infections,['c02.782.147.420']
hantavirus pulmonary syndrome,"['c02.782.147.420.380', 'c08.618.846.450']"
hemorrhagic fever with renal syndrome,"['c02.782.147.420.400', 'c02.782.417.450']"
caliciviridae infections,['c02.782.160']
vesicular exanthema of swine,"['c02.782.160.927', 'c22.905.927']"
flaviviridae infections,['c02.782.350']
flavivirus infections,['c02.782.350.250']
louping ill,"['c02.782.350.250.650', 'c22.836.435']"
pestivirus infections,['c02.782.350.675']
border disease,"['c02.782.350.675.100', 'c22.836.160']"
bovine virus diarrhea-mucosal disease,"['c02.782.350.675.106', 'c22.196.106']"
classical swine fever,"['c02.782.350.675.200', 'c22.905.170']"
"hemorrhagic syndrome, bovine","['c02.782.350.675.400', 'c22.196.400']"
"hemorrhagic fevers, viral",['c02.782.417']
"hemorrhagic fever, ebola","['c02.782.417.415', 'c02.782.580.250.400']"
marburg virus disease,"['c02.782.417.560', 'c02.782.580.250.500', 'c22.735.500.500']"
mononegavirales infections,['c02.782.580']
borna disease,"['c02.782.580.124', 'c22.152']"
filoviridae infections,['c02.782.580.250']
paramyxoviridae infections,['c02.782.580.600']
avulavirus infections,['c02.782.580.600.080']
newcastle disease,"['c02.782.580.600.080.600', 'c22.131.630']"
henipavirus infections,['c02.782.580.600.400']
morbillivirus infections,['c02.782.580.600.500']
distemper,"['c02.782.580.600.500.285', 'c22.268.265']"
measles,['c02.782.580.600.500.500']
peste-des-petits-ruminants,"['c02.782.580.600.500.600', 'c22.706']"
rinderpest,"['c02.782.580.600.500.700', 'c22.780']"
respirovirus infections,['c02.782.580.600.600']
pneumovirus infections,['c02.782.580.600.620']
respiratory syncytial virus infections,['c02.782.580.600.620.750']
rubulavirus infections,['c02.782.580.600.680']
mumps,"['c02.782.580.600.680.500', 'c07.465.815.470.800.630']"
rhabdoviridae infections,['c02.782.580.830']
ephemeral fever,"['c02.782.580.830.375', 'c22.196.274']"
"hemorrhagic septicemia, viral","['c02.782.580.830.450', 'c22.362.450', 'c23.550.470.790.500.900.400']"
rabies,['c02.782.580.830.750']
vesicular stomatitis,"['c02.782.580.830.825', 'c07.465.864.968', 'c22.952']"
nidovirales infections,['c02.782.600']
arterivirus infections,['c02.782.600.100']
porcine reproductive and respiratory syndrome,"['c02.782.600.100.700', 'c22.905.700']"
coronaviridae infections,['c02.782.600.550']
coronavirus infections,['c02.782.600.550.200']
"enteritis, transmissible, of turkeys","['c02.782.600.550.200.325', 'c22.131.728.250']"
feline infectious peritonitis,"['c02.782.600.550.200.360', 'c22.180.440']"
"gastroenteritis, transmissible, of swine","['c02.782.600.550.200.400', 'c22.905.469']"
severe acute respiratory syndrome,"['c02.782.600.550.200.750', 'c08.730.730']"
torovirus infections,['c02.782.600.550.800']
orthomyxoviridae infections,['c02.782.620']
"influenza, human","['c02.782.620.365', 'c08.730.310']"
influenza in birds,"['c02.782.620.375', 'c22.131.450', 'c22.131.728.450']"
picornaviridae infections,['c02.782.687']
cardiovirus infections,['c02.782.687.150']
common cold,"['c02.782.687.207', 'c08.730.162']"
enterovirus infections,['c02.782.687.359']
coxsackievirus infections,['c02.782.687.359.213']
"hand, foot and mouth disease",['c02.782.687.359.213.331']
herpangina,['c02.782.687.359.213.466']
"pleurodynia, epidemic",['c02.782.687.359.213.737']
echovirus infections,['c02.782.687.359.347']
"encephalomyelitis, enzootic porcine","['c02.782.687.359.456', 'c22.905.323']"
swine vesicular disease,"['c02.782.687.359.855', 'c22.905.850']"
foot-and-mouth disease,"['c02.782.687.484', 'c22.380']"
reoviridae infections,['c02.782.791']
rotavirus infections,['c02.782.791.814']
retroviridae infections,['c02.782.815']
avian leukosis,"['c02.782.815.096', 'c02.928.120', 'c04.557.337.372.216', 'c04.619.531.216', 'c04.619.935.120', 'c04.925.120', 'c22.131.094']"
deltaretrovirus infections,"['c02.782.815.200', 'c20.673.483']"
enzootic bovine leukosis,"['c02.782.815.200.260', 'c04.557.337.100', 'c20.673.483.260', 'c22.196.260']"
htlv-i infections,"['c02.782.815.200.470', 'c20.673.483.470']"
htlv-ii infections,"['c02.782.815.200.480', 'c20.673.483.480']"
lentivirus infections,['c02.782.815.616']
equine infectious anemia,"['c02.782.815.616.300', 'c02.839.375', 'c22.488.304']"
feline acquired immunodeficiency syndrome,"['c02.782.815.616.350', 'c02.839.400', 'c22.180.350']"
hiv infections,"['c02.782.815.616.400', 'c02.800.801.400', 'c20.673.480']"
acquired immunodeficiency syndrome,"['c02.782.815.616.400.040', 'c02.800.801.400.040', 'c02.839.040', 'c20.673.480.040']"
"aids arteritis, central nervous system","['c02.782.815.616.400.048', 'c02.800.801.400.048', 'c10.114.875.175', 'c10.228.140.300.850.125', 'c14.907.184.140', 'c14.907.253.946.175', 'c14.907.940.090.170', 'c14.907.940.907.175', 'c20.673.480.048']"
